"Site","Date","Field_DO","Field_Cond","Field_Temp","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","LABNOTES","time","dt_char","FCW_Number","Year","site_code","lat_long","Common_name","Site.Description"
"Poudre at Lincoln",2023-09-11 00:00:00.000000Z,,,,2.35,2.8000000000001357,1.55,3.283,0.4269,8.066,1949.368,286.6148,14.36,0.017,1.37,14.4,19.94,0.085,20.3795,1.2209,0,12.334,,"13:00:00","2023-09-11 13:00:00",2532,2023,"lincoln","40.588073,-105.069231","Lincoln St","Poudre at Lincoln St above Lincoln St Outflow"
"Poudre at Timberline",2023-09-11 00:00:00.000000Z,,,,2.57,3.917525773195903,1.21,3.54,0.6134,8.174,3752.362,416.6852,11.54,0.03,1.6900000000000002,7.94,33.56,0.20500000000000002,17.609,0.8250000000000001,0,45.454,,"13:45:00","2023-09-11 13:45:00",2533,2023,"timberline","40.575, -105.033","Timberline","Poudre at Timberline below Dry Creek"
"Poudre at Prospect",2023-09-11 00:00:00.000000Z,,,,7.44,5.154639175257851,1.46,3.528,0.5328,8.212,1635.449,321.5634,12.16,0.075,1.4449999999999998,8.82,36.52,0.275,12.309,0.6455,0,45.157999999999994,,"14:45:00","2023-09-11 14:45:00",2534,2023,"prospect","40.56703363, -105.0272535","Prospect","Poudre below Spring Creek at Prospect"
"Boxelder Creek above Sanitation District",2023-09-11 00:00:00.000000Z,,,,9.36,10.824742268041419,1.7,3.241,4.262,8.512,8203.887,2290.1048,99.03999999999999,0.065,4.725,77.08,233.38,0.895,47.995,12.807,0,588.4839999999999,,"15:20:00","2023-09-11 15:20:00",2535,2023,"boxcreek","40.552003, -105.004576","Boxelder Creek","Boxelder Creek above Boxelder Sanitation"
"Poudre at Archery Range",2023-09-11 00:00:00.000000Z,,,,4.16,4.787234042553137,2.07,3.769,0.7365,8.443,1689.362,561.1274,20.68,0,1.9500000000000002,17.88,60.339999999999996,0.335,19.807,1.196,0,117.42800000000001,,"16:00:00","2023-09-11 16:00:00",2536,2023,"archery","40.547903, -105.001105","Archery","Poudre below Boxelder Sanitation at Archery Range"
"Poudre at Bellvue Diversion",2023-09-21 00:00:00.000000Z,,,,1.65,1.57692307692332,0.69,2.932,0.09343,7.632,866.848,115.2516,3.9400000000000004,0,0.782,2.8,17.34,0.014,3.2011,0.0334,0,4.93,,"15:45:00","2023-09-21 15:45:00",2603,2023,"PBD","40.664519,-105.224190","Canyon Mouth","Downstream of the confluence of the North Fork and mainstem of the CLP"
"Poudre at Lincoln",2023-09-29 00:00:00.000000Z,,"437.7","17.5",10.25,10.7000000000001,1.06,3.127,0.4205,8.285,2605.39,477.4752,18.48,0.009,2.2800000000000002,13.86,53.2,0.309,21.209,1.2173,0,53.158,"TSS and Turb Confirmed, Storm?","11:38:00","2023-09-29 11:38:00",2611,2023,"lincoln","40.588073,-105.069231","Lincoln St","Poudre at Lincoln St above Lincoln St Outflow"
"Poudre at Timberline",2023-09-29 00:00:00.000000Z,,"859.8","18.5",27.83,28.2999999999999,6.22,4.63,1.104,8.537,3410.97,870.8968,45.38,0.08,3.66,30.54,98.26,0.453,21.3094,4.1584,0,133.822,"TSS and Turb Confirmed, Storm?","12:24:00","2023-09-29 12:24:00",2612,2023,"timberline","40.575, -105.033","Timberline","Poudre at Timberline below Dry Creek"
"Poudre at Prospect",2023-09-29 00:00:00.000000Z,,"805","20.8",23.81,22.1999999999999,4.46,4.178,0.9057,8.174,4266.813,952.1971,43.56,0.111,3.4399999999999995,30.419999999999998,94.3,0.462,19.884,2.842,0,205.608,"TSS and Turb Confirmed, Storm?","15:15:00","2023-09-29 15:15:00",2613,2023,"prospect","40.56703363, -105.0272535","Prospect","Poudre below Spring Creek at Prospect"
"Poudre at Archery Range",2023-09-29 00:00:00.000000Z,,"1461","19.399999999999999",61.83,60.7999999999999,2.46,5.088,1.525,8.483,3876.6899999999996,1844.7052,92.68,0.199,5.638,67.69999999999999,159.78,0.69,43.727999999999994,5.7944,0,478.62,"TSS and Turb Confirmed, Storm?","15:55:00","2023-09-29 15:55:00",2614,2023,"archery","40.547903, -105.001105","Archery","Poudre below Boxelder Sanitation at Archery Range"
"Boxelder Creek above Sanitation District",2023-09-29 00:00:00.000000Z,,"2165","17.100000000000001",97.32,95.7000000000001,2.16,5.462,2.987,8.482,5176.8949999999995,2452.4073,144.309,0.181,6.813,123.74000000000001,229.86,0.633,49.098,12.218,0,555.778,"TSS and Turb Confirmed, Storm?","16:35:00","2023-09-29 16:35:00",2615,2023,"boxcreek","40.552003, -105.004576","Boxelder Creek","Boxelder Creek above Boxelder Sanitation"
"Poudre at Lincoln",2023-10-03 00:00:00.000000Z,,"455","14.4",10.68,12.8000000000001,1.41,7.63,0.4297,7.843,2941.296,551.2808,17.88,0.031,3.153,17.3,61.18000000000001,0.341,30.512,0.9867,0,54.682,"TSS and Turb Confirmed, Storm?","07:10:00","2023-10-03 07:10:00",2616,2023,"lincoln","40.588073,-105.069231","Lincoln St","Poudre at Lincoln St above Lincoln St Outflow"
"Poudre at Timberline",2023-10-03 00:00:00.000000Z,,"804.5","15.6",9.8,11.333333333333,4.78,6.696,1.215,8.317,2946.85,913.3968,41.879999999999995,0.145,4.079,28.759999999999998,93.14,0.395,35.056,4.3644,0,173.39,"TSS and Turb Confirmed, Storm?","07:45:00","2023-10-03 07:45:00",2617,2023,"timberline","40.575, -105.033","Timberline","Poudre at Timberline below Dry Creek"
"Poudre at Prospect",2023-10-03 00:00:00.000000Z,,"781.26","15.53",5.87,7.454545454545037,4.49,7.039,1.016,8.03,4091.76,901.398,39.660000000000004,0.097,3.65,27.519999999999996,91.89999999999999,0.402,41.692,3.905,0,171.982,,"08:00:00","2023-10-03 08:00:00",2619,2023,"prospect","40.56703363, -105.0272535","Prospect","Poudre below Spring Creek at Prospect"
"Poudre at Archery Range",2023-10-03 00:00:00.000000Z,,"1205.4000000000001","15.17",5.28,14.150943396226113,4.68,4.982,1.625,8.235,3811.13,1438.7144,70.58,0.351,4.782,52.28,134.70000000000002,0.595,46.638000000000005,5.2312,0,364.578,,"08:15:00","2023-10-03 08:15:00",2620,2023,"archery","40.547903, -105.001105","Archery","Poudre below Boxelder Sanitation at Archery Range"
"Boxelder Creek above Sanitation District",2023-10-03 00:00:00.000000Z,,"TBD","TBD",16.57,23.70370370370356,2.57,5.698,3.335,8.33,6118.719999999999,3024.7952,152.339,0.342,7.592,137.16,251.22,0.657,53.522,13.262,0,819.4119999999999,,"08:30:00","2023-10-03 08:30:00",2621,2023,"boxcreek","40.552003, -105.004576","Boxelder Creek","Boxelder Creek above Boxelder Sanitation"
"Poudre at Bellvue Diversion",2023-10-05 00:00:00.000000Z,,,,0.53,0.4716981132075,1.33,2.896,0.05114,7.471,949.871,121.4101,5.349,0.003,0.773,3.273,14.687,0.0277,4.2128,0.0554,0,4.3957,,"16:00:00","2023-10-05 16:00:00",2659,2023,"PBD","40.664519,-105.224190","Canyon Mouth","Downstream of the confluence of the North Fork and mainstem of the CLP"
"Poudre at Bellvue Diversion",2023-10-27 00:00:00.000000Z,"9.26","154","5.9",0.4,0.48543689320383004,2.73,2.881,0.03224,7.213,890.178,117.6172,4.887,0.007,0.959,3.339,14.209,0.0372,4.209,0.0124,0,5.1581,,"13:50:00","2023-10-27 13:50:00",2693,2023,"PBD","40.664519,-105.224190","Canyon Mouth","Downstream of the confluence of the North Fork and mainstem of the CLP"
"Poudre at Bellvue Diversion",2023-11-02 00:00:00.000000Z,"9.4600000000000009","106.1","4.9000000000000004",0.4,0.7843137254903274,0.56,2.671,0.06061,7.555,857.707,112.7263,4.680000000000001,0.01,0.78,3.4050000000000002,14.04,0.0165,4.202500000000001,0.23249999999999998,0,5.074,,"14:35:00","2023-11-02 14:35:00",2710,2023,"PBD","40.664519,-105.224190","Canyon Mouth","Downstream of the confluence of the North Fork and mainstem of the CLP"
"Poudre at Lincoln",2023-11-02 00:00:00.000000Z,"9.9499999999999993","223.9","7.6",0.59,0.72815533980584,4.74,1.997,0.14505,8.255,2359.01,345.1318,12.46,0.025,1,13.76,34.1,0.20500000000000002,16.64,0.371,0,23.784,,"15:36:00","2023-11-02 15:36:00",2711,2023,"lincoln","40.588073,-105.069231","Lincoln St","Poudre at Lincoln St above Lincoln St Outflow"
"Poudre at Timberline",2023-11-02 00:00:00.000000Z,"9.58","391.7","8.8000000000000007",3.49,7.200000000000095,5.41,4.587,1.36,8.329,2764.67,953.7533,45.2,0.18,2.885,23.34,107.8,0.28500000000000003,46.552,4.2635,0,184.812,,"16:20:00","2023-11-02 16:20:00",2712,2023,"timberline","40.575, -105.033","Timberline","Poudre at Timberline below Dry Creek"
"Poudre at Archery Range",2023-11-02 00:00:00.000000Z,"9.14","970.8","9.9",1.32,6.63551401869148,4.81,3.585,1.361,8.289,3929.4799999999996,1128.1929,54.480000000000004,0,3.71,37.400000000000006,121.82000000000001,0.45499999999999996,51.334,5.0115,0,241.268,,"17:16:00","2023-11-02 17:16:00",2713,2023,"archery","40.547903, -105.001105","Archery","Poudre below Boxelder Sanitation at Archery Range"
"Boxelder Creek above Sanitation District",2023-11-02 00:00:00.000000Z,"7.73","2178","11.5",15.64,15.121951219512264,3.06,3.585,4.421,8.314,12396.88,2957.1052,169.57999999999998,0.005,5.96,118.69999999999999,266.8,0.73,53.05,16.919999999999998,0,665.914,,"17:47:00","2023-11-02 17:47:00",2714,2023,"boxcreek","40.552003, -105.004576","Boxelder Creek","Boxelder Creek above Boxelder Sanitation"
"Poudre at Prospect",2023-11-02 00:00:00.000000Z,"NA","371.2","8.5",4.91,5.480769230769267,4.35,2.572,1.4109,8.346,340.996,585.3695,15.2,0.005,1.75,13.580000000000002,57.480000000000004,0.255,38.618,3.2555,0,153.352,,"18:25:00","2023-11-02 18:25:00",2715,2023,"prospect","40.56703363, -105.0272535","Prospect","Poudre below Spring Creek at Prospect"
"Poudre at Bellvue Diversion",2023-11-07 00:00:00.000000Z,"9.2100000000000009","101.4","4.9000000000000004",1.1081,0.2941176470587911,,3.81,0.1083,7.68,842.668,115.9371,4.58,0.025,1.085,3.3,17.46,0.0155,3.792,0.2545,0,5.288,,"07:59:00","2023-11-07 07:59:00",2716,2023,"PBD","40.664519,-105.224190","Canyon Mouth","Downstream of the confluence of the North Fork and mainstem of the CLP"
"Poudre at Lincoln",2023-11-07 00:00:00.000000Z,"9.15","315.2","6.7",0.52,0.582524271844596,,4.359,0.25,7.969,2205.839,375.0677,14.64,0.05,1.41,13.56,42.3,0.22999999999999998,13.652,0.491,0,33.748,,"08:43:00","2023-11-07 08:43:00",2717,2023,"lincoln","40.588073,-105.069231","Lincoln St","Poudre at Lincoln St above Lincoln St Outflow"
"Poudre at Timberline",2023-11-07 00:00:00.000000Z,"8.58","757.2","8.4",5.92,3.5576923076923426,,4.7735,1.407,8.15,2740.1850000000004,1001.4368,42.26,0.105,3.01,29.580000000000002,115.5,0.335,51.082,3.8200000000000003,0.436,182.23600000000002,,"09:08:00","2023-11-07 09:08:00",2718,2023,"timberline","40.575, -105.033","Timberline","Poudre at Timberline below Dry Creek"
"Poudre at Prospect",2023-11-07 00:00:00.000000Z,"10.4","805.1","8.6999999999999993",2.46,2.4509803921568105,,5.23,2.2395,8.335,24544.84,4769.4528,188.6095,0.10999999999999999,3.09,198.85999999999999,482.2,0.37,88.34199999999998,3.3529999999999998,0.839,974.244,"Ions Confirmed. Potential bottle contam? Lab measurements very different than field sensor.","09:41:00","2023-11-07 09:41:00",2719,2023,"prospect","40.56703363, -105.0272535","Prospect","Poudre below Spring Creek at Prospect"
"Boxelder Creek above Sanitation District",2023-11-07 00:00:00.000000Z,"10.06","2065","10.3",2.05,6.206896551724111,,4.9425,8.3815,8.31,5309.629999999999,1478.5019,52.019999999999996,0.10999999999999999,5.29,40.9,147.44,0.69,50.418000000000006,33.336,0,284.168,,"10:07:00","2023-11-07 10:07:00",2720,2023,"boxcreek","40.552003, -105.004576","Boxelder Creek","Boxelder Creek above Boxelder Sanitation"
"Poudre at Boxelder Sanitation (Above Boxelder Creek0",2023-11-07 00:00:00.000000Z,"9.2200000000000006","1044","9.1999999999999993",2.77,1.8446601941747696,,5.949999999999999,0.716,8.299,4212.695,1284.3899,50.32,0.13,3.3800000000000003,39.48,141.9,0.42000000000000004,48.907999999999994,2.6740000000000004,0,276.024,,"10:29:00","2023-11-07 10:29:00",2721,2023,"boxelder","40.550674,-105.008111","Boxelder","Poudre above Boxelder Sanitation, formerly ELC"
"Poudre at Archery Range",2023-11-07 00:00:00.000000Z,"9.07","1164","11.1",4.43,7.184466019417546,,5.515,1.542,8.257,3870.75,1495.3846,67.86,0.14,5.01,51.82000000000001,164.24,0.5700000000000001,50.842,4.3919999999999995,0,359.794,,"11:53:00","2023-11-07 11:53:00",2722,2023,"archery","40.547903, -105.001105","Archery","Poudre below Boxelder Sanitation at Archery Range"
"Poudre at Bellvue Diversion",2023-11-09 00:00:00.000000Z,"9.5299999999999994","94.29","5.4",0.52,0.495049504950441,,3.739,0.095,8.129,959.965,125.6755,3.92,0.011,0.99,3.1,18.8,0.017,3.3000000000000003,0.257,0,4.662,,"14:26:00","2023-11-09 14:26:00",2723,2023,"PBD","40.664519,-105.224190","Canyon Mouth","Downstream of the confluence of the North Fork and mainstem of the CLP"
"Poudre at Lincoln",2023-11-09 00:00:00.000000Z,"9.31","312.39999999999998","7.1",0.58,0.9708737864076601,,4.501,0.31555,8.129,2904.735,392.2585,10.440000000000001,0.015,1.6700000000000002,11.16,51.18000000000001,0.22999999999999998,14.086,0.968,0,34.653999999999996,,"15:06:00","2023-11-09 15:06:00",2724,2023,"lincoln","40.588073,-105.069231","Lincoln St","Poudre at Lincoln St above Lincoln St Outflow"
"Poudre at Timberline",2023-11-09 00:00:00.000000Z,"9.73","754.2","8.6999999999999993",3.38,2.7450980392156015,,3.902,1.393,8.302,2912.8199999999997,954.012,34.8,0.15,3.04,26.28,108.66,0.32,39.038,3.463,0.428,196.512,,"15:25:00","2023-11-09 15:25:00",2725,2023,"timberline","40.575, -105.033","Timberline","Poudre at Timberline below Dry Creek"
"Poudre at Prospect",2023-11-09 00:00:00.000000Z,"10.65","798.9","8.9",0.88,2.0909090909090624,,4.3149999999999995,1.776,8.165999999999999,1055.165,935.1655000000001,39.300000000000004,0.31,3.13,29.020000000000003,114.46,0.41000000000000003,48.746,3.226,0.386,181.46999999999997,,"15:57:00","2023-11-09 15:57:00",2726,2023,"prospect","40.56703363, -105.0272535","Prospect","Poudre below Spring Creek at Prospect"
"Boxelder Creek above Sanitation District",2023-11-09 00:00:00.000000Z,"8.2200000000000006","1602","10.7",18.45,26.909090909090974,,4.0405,3.4525,8.203999999999999,4110.725,1828.0390000000002,90.16,0.10999999999999999,4.26,74.80000000000001,193.84,0.68,39.302,11.28,0,488.36799999999994,,"16:16:00","2023-11-09 16:16:00",2727,2023,"boxcreek","40.552003, -105.004576","Boxelder Creek","Boxelder Creek above Boxelder Sanitation"
"Poudre at Archery Range",2023-11-09 00:00:00.000000Z,"9.56","1196","9.8000000000000007",3.75,3.960396039603964,,4.9335,1.7415,8.1661,3759.185,1507.299,66.28,0.08,4.58,50.66,161.1,0.52,50.502,4.106,0,352.196,,"16:44:00","2023-11-09 16:44:00",2728,2023,"archery","40.547903, -105.001105","Archery","Poudre below Boxelder Sanitation at Archery Range"
"Poudre at Bellvue Diversion",2023-11-14 00:00:00.000000Z,"9.92","99.61","2.1",0.47,0.7999999999999119,,3.907,0.1855,8.004,951.355,126.0335,4,0.029,0.98,3.2,19.08,0.017,3.352,0.607,0,4.826,,"07:09:00","2023-11-14 07:09:00",2729,2023,"PBD","40.664519,-105.224190","Canyon Mouth","Downstream of the confluence of the North Fork and mainstem of the CLP"
"Poudre at Lincoln",2023-11-14 00:00:00.000000Z,"8.67","442.1","5.2",26.9,10.31249999999979,,4.7985,0.4849,8.017,2870.34,510.254,16.46,0.017,2.0300000000000002,15.14,67.42,0.32,26.624,1.758,0,48.49,"TSS and Turb Confirmed","07:43:00","2023-11-14 07:43:00",2730,2023,"lincoln","40.588073,-105.069231","Lincoln St","Poudre at Lincoln St above Lincoln St Outflow"
"Poudre at Timberline",2023-11-14 00:00:00.000000Z,"7.64","865.8","6.6",9.29,2.4742268041238966,,6.41,2.189,8.056,3470.255,1044.158,41.6,0.13,4.14,28.24,116.44,0.4,42.599999999999994,6.7410000000000005,1.091,209.926,,"08:05:00","2023-11-14 08:05:00",2731,2023,"timberline","40.575, -105.033","Timberline","Poudre at Timberline below Dry Creek"
"Poudre at Prospect",2023-11-14 00:00:00.000000Z,"9.39","877.9","6",4.91,4.0999999999999925,,4.8305,1.4315,8.171,3457.095,1077.3485,43.96,0.08,3.46,31.080000000000002,122.36000000000001,0.43999999999999995,56.193999999999996,4.806,0.487,186.86800000000002,,"08:48:00","2023-11-14 08:48:00",2732,2023,"prospect","40.56703363, -105.0272535","Prospect","Poudre below Spring Creek at Prospect"
"Boxelder Creek above Sanitation District",2023-11-14 00:00:00.000000Z,"9.06","2042","8.6",68.13,54.6999999999999,,4.823,4.9245,8.181999999999999,5275.77,2705.4045,140,0.07,5.739999999999999,107,267.64,0.77,52.464000000000006,17.228,0,636.0840000000001,,"09:10:00","2023-11-14 09:10:00",2733,2023,"boxcreek","40.552003, -105.004576","Boxelder Creek","Boxelder Creek above Boxelder Sanitation"
"Poudre at Boxelder Sanitation (Above Boxelder Creek0",2023-11-14 00:00:00.000000Z,"9.17","1020","5.2",4.45,3.8000000000000256,,5.135,1.053,8.152,3511.65,1202.7060000000001,44.28,0.14,3.3200000000000003,37.879999999999995,136.98000000000002,0.48,42.686,2.887,0,268.564,,"09:23:00","2023-11-14 09:23:00",2734,2023,"boxelder","40.550674,-105.008111","Boxelder","Poudre above Boxelder Sanitation, formerly ELC"
"Poudre at Archery Range",2023-11-14 00:00:00.000000Z,"8.52","1183","6.8",7.99,4.081632653061228,,5.09,1.2305000000000001,8.119,3679.4799999999996,1522.2245,62.24,0.04,4.47,51.18000000000001,161.56,0.52,45.408,4.532,0,356.97400000000005,,"09:42:00","2023-11-14 09:42:00",2735,2023,"archery","40.547903, -105.001105","Archery","Poudre below Boxelder Sanitation at Archery Range"
"Poudre at Bellvue Diversion",2023-11-16 00:00:00.000000Z,"9.9700000000000006","99.62","2.5",0.3,0.20202020202017978,,2.451,0.1641,8.022,1068.3899999999999,132.899,3.88,0.05,1.03,3.14,17.52,0.016,3.246,0.5469999999999999,0,4.588,,"08:40:00","2023-11-16 08:40:00",2736,2023,"PBD","40.664519,-105.224190","Canyon Mouth","Downstream of the confluence of the North Fork and mainstem of the CLP"
"Poudre at Lincoln",2023-11-16 00:00:00.000000Z,"9.34","392.2","5.2",0.52,0.909090909090809,,2.87,0.4546,8.074,2380.215,439.2405,13.24,0.06,1.7199999999999998,13.5,60.44,0.29000000000000004,19.604,1.404,0,43.458,,"09:30:00","2023-11-16 09:30:00",2737,2023,"lincoln","40.588073,-105.069231","Lincoln St","Poudre at Lincoln St above Lincoln St Outflow"
"Poudre at Timberline",2023-11-16 00:00:00.000000Z,"8.4499999999999993","837.6","6.9",1.81,3.3000000000000806,,3.638,1.678,8.110999999999999,3567.2949999999996,1023.012,40.88,0.16,3.87,28.42,117.10000000000001,0.35000000000000003,41.529999999999994,5.683,0.566,207.274,,"10:30:00","2023-11-16 10:30:00",2738,2023,"timberline","40.575, -105.033","Timberline","Poudre at Timberline below Dry Creek"
"Poudre at Prospect",2023-11-16 00:00:00.000000Z,"9.5399999999999991","877.2","6.5",2.59,2.0000000000000018,,3.663,1.484,8.216,13665.46,3004.5985,136.3,0.06,3.5599999999999996,105.32,261.84000000000003,0.42000000000000004,51.852000000000004,4.449,0.525,631.1,"Ions Confirmed. Potential bottle contam? Lab measurements very different than field sensor.","11:00:00","2023-11-16 11:00:00",2739,2023,"prospect","40.56703363, -105.0272535","Prospect","Poudre below Spring Creek at Prospect"
"Boxelder Creek above Sanitation District",2023-11-16 00:00:00.000000Z,"9.85","1985","9.8000000000000007",1.83,2.040816326530614,,4.003,4.631,8.222,5158.085,2525.4605,133,0.06,5.699999999999999,104.1,258.29999999999995,0.8,51.344,16.598,0,624.714,,"11:30:00","2023-11-16 11:30:00",2740,2023,"boxcreek","40.552003, -105.004576","Boxelder Creek","Boxelder Creek above Boxelder Sanitation"
"Poudre at Boxelder Sanitation (Above Boxelder Creek0",2023-11-16 00:00:00.000000Z,"10.66","1059","7.4",2.2,1.6000000000000458,,3.805,1.078,8.255999999999998,4451.6,1380.4850000000001,52.94,0.06,3.89,42.24,151.38,0.49,51.796,3.2840000000000003,0,293.06,,"12:00:00","2023-11-16 12:00:00",2741,2023,"boxelder","40.550674,-105.008111","Boxelder","Poudre above Boxelder Sanitation, formerly ELC"
"Poudre at Archery Range",2023-11-16 00:00:00.000000Z,"9.91","1245","8.5",2.03,1.5000000000000568,,4.172,1.534,8.2,3940.065,1500.276,67.03999999999999,0.09,5.04,49.980000000000004,145.8,0.5800000000000001,48.998,5.114999999999999,0,383.61600000000004,,"12:30:00","2023-11-16 12:30:00",2742,2023,"archery","40.547903, -105.001105","Archery","Poudre below Boxelder Sanitation at Archery Range"
"Poudre at Lincoln",2023-12-05 00:00:00.000000Z,"11.17","373.7","4.5",,,,2.94,0.8126,7.957,2458.83,432.557,13.799999999999999,0.02,1.7799999999999998,13.32,51.64,0.269,20.268,3.341,0,43.35,,"14:47:00","2023-12-05 14:47:00",2744,2023,"lincoln","40.588073,-105.069231","Lincoln St","Poudre at Lincoln St above Lincoln St Outflow"
"Poudre at Timberline",2023-12-05 00:00:00.000000Z,"10.19","791.2","5",,,,3.162,1.9439,7.885,2994.2149999999997,955.9465,34.22,0.19,2.44,27.3,109.2,0.293,38.14,6.545999999999999,0,210.572,,"15:29:00","2023-12-05 15:29:00",2745,2023,"timberline","40.575, -105.033","Timberline","Poudre at Timberline below Dry Creek"
"Poudre at Prospect",2023-12-05 00:00:00.000000Z,"10.83","885.9","5",,,,3.167,1.9204,8.163,3612.0600000000004,1062.893,46.18000000000001,0.05,2.5,30.96,117.75999999999999,0.511,61.782000000000004,6.611000000000001,0,193.04,,"16:16:00","2023-12-05 16:16:00",2746,2023,"prospect","40.56703363, -105.0272535","Prospect","Poudre below Spring Creek at Prospect"
"Boxelder Creek above Sanitation District",2023-12-05 00:00:00.000000Z,"8.15","2099","8.6999999999999993",,,,3.817,4.802,8.391,5945.77,2760.4285,147.89999999999998,0.08,5.58,108,263.65999999999997,0.74,51.730000000000004,17.692,0,726.766,,"16:57:00","2023-12-05 16:57:00",2747,2023,"boxcreek","40.552003, -105.004576","Boxelder Creek","Boxelder Creek above Boxelder Sanitation"
"Poudre at Archery Range",2023-12-05 00:00:00.000000Z,"9.9499999999999993","1352","6.4",,,,3.921,1.563,8.298,4751.429999999999,1761.085,73.52000000000001,0.19,4.62,56.36,170.06,0.52,58.788,4.798,0,408.468,,"17:32:00","2023-12-05 17:32:00",2748,2023,"archery","40.547903, -105.001105","Archery","Poudre below Boxelder Sanitation at Archery Range"
